second_name,total_points,points_per_game,selected_by_percent,goals_scored,assists,bonus,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,position
Trippier,198,5.2,62.4,1,9,39,904.8,1818.5,117,284.3,0.85,12.03,12.88,0.02,0.32,0.34,Defender
White,156,4.1,16.1,2,5,12,649,491.2,159,130,1.25,3.6,4.85,0.04,0.11,0.15,Defender
Alexander-Arnold,156,4.2,30.7,2,11,21,779,1168.2,241,219,2.36,9.26,11.62,0.07,0.29,0.36,Defender
Magalhaes,146,3.8,13.4,3,0,15,733.8,129.7,401,126.5,5.04,0.66,5.7,0.13,0.02,0.15,Defender
Mee,143,3.9,14.4,3,2,11,761.4,92,307,116.3,3.19,0.74,3.93,0.09,0.02,0.11,Defender
Schar,139,3.9,14.4,1,3,6,653.4,263.9,521,144.1,4.63,2.05,6.68,0.13,0.06,0.19,Defender
Mings,130,3.7,12.5,1,3,17,657.2,87.7,121,87,0.96,0.95,1.91,0.03,0.03,0.06,Defender
Haaland,272,7.8,78.4,36,9,40,1390,371,1825,358.1,28.54,3.11,31.65,0.93,0.1,1.03,Forward
Kane,263,6.9,32.7,30,9,48,1256.6,744.8,1707,371,20.95,4.01,24.96,0.55,0.11,0.66,Forward
Toney,182,5.5,18.2,20,4,35,926.8,424.3,1240,258.7,18.74,3.72,22.46,0.57,0.11,0.68,Forward
Watkins,175,4.7,12.8,15,8,25,792,408.5,1268,247,16.15,2.66,18.81,0.46,0.08,0.54,Forward
Wilson,157,5.1,17.2,18,6,20,720,271,1020,200.4,16.43,2.11,18.54,0.79,0.1,0.89,Forward
Mbeumo,150,3.9,4,9,9,19,662.4,766.3,866,229.3,9.48,5.53,15.01,0.29,0.17,0.46,Forward
Salah,239,6.3,37.2,19,13,23,1046.2,869.9,1620,353.7,21.01,7.03,28.04,0.57,0.19,0.76,Midfielder
Odegaard,212,5.7,33.3,15,8,30,960,1100.4,920,298.3,9.75,8.02,17.77,0.28,0.23,0.51,Midfielder
Rashford,205,5.9,37.8,17,7,21,887.8,459.7,1427,277.6,15.27,2.86,18.13,0.48,0.09,0.57,Midfielder
Saka,202,5.3,25.6,14,12,19,972.2,1091.8,1164,322.8,11.49,5.97,17.46,0.32,0.17,0.49,Midfielder
Martinelli Silva,198,5.5,26.3,15,9,18,844.2,838.1,1300,298.1,9.15,6.98,16.13,0.3,0.23,0.53,Midfielder
De Bruyne,183,5.7,25.5,7,18,26,897.8,1476.7,598,297.6,5.34,13.69,19.03,0.2,0.51,0.71,Midfielder
Borges Fernandes,176,4.8,13.3,8,9,23,948,1532.3,948,343.1,9.33,10.7,20.03,0.25,0.29,0.54,Midfielder
Gross,159,4.3,11,9,8,14,888.4,1215.4,578,268.6,5.19,8.93,14.12,0.14,0.25,0.39,Midfielder
Eze,159,4.2,12.8,10,5,21,692.8,800.4,597,208.9,7.25,2.92,10.17,0.25,0.1,0.35,Midfielder
Almiron Rejala,158,4.6,12.8,11,4,15,599.2,424,849,187.5,8.03,3,11.03,0.29,0.11,0.4,Midfielder
Trossard,154,4.3,7.2,8,13,8,620,687.1,859,216.6,6.37,6.02,12.39,0.26,0.24,0.5,Midfielder
Xhaka,153,4.1,2.7,7,8,15,647,673.3,498,182,4.65,3.89,8.54,0.14,0.12,0.26,Midfielder
Heung-min,152,4.2,6.4,10,6,8,709.2,829.3,910,244.7,9.8,4.56,14.36,0.31,0.14,0.45,Midfielder
March,147,4.5,4.4,6,10,16,791.8,965.8,955,271.4,7.01,5.9,12.91,0.23,0.2,0.43,Midfielder
Gibbs-White,145,3.9,1.3,5,12,11,593.4,941.1,624,215.7,6.77,6.06,12.83,0.19,0.17,0.36,Midfielder
Bowen,145,3.8,3.3,6,9,9,625.8,674.8,1076,237.9,9.38,6,15.38,0.26,0.17,0.43,Midfielder
Soares de Paulo,142,3.8,1,6,7,17,661.6,655.4,242,155.8,2.79,2.92,5.71,0.09,0.09,0.18,Midfielder
Foden,142,4.4,9.7,11,7,15,671.2,670.8,712,205.4,5.75,4.73,10.48,0.28,0.23,0.51,Midfielder
Ward-Prowse,142,3.7,4.9,9,4,18,880.4,1162.9,319,236.3,5.86,5.3,11.16,0.16,0.14,0.3,Midfielder
Mac Allister,140,4,14.7,10,2,18,741,729.6,706,217.8,12.05,4.27,16.32,0.38,0.13,0.51,Midfielder
Mitoma,138,4.2,27.3,7,9,11,566.8,567.6,857,198.9,8.29,4.93,13.22,0.32,0.19,0.51,Midfielder
Barnes,138,4.1,1.7,13,2,0,567.4,305.1,883,175.5,9.07,2.33,11.4,0.3,0.08,0.38,Midfielder
Ramsey,135,3.9,1.5,6,8,13,607.2,496.7,424,152.8,5.07,2.89,7.96,0.17,0.1,0.27,Midfielder
Maddison,135,4.5,5.5,10,9,9,785.4,970,769,252.9,8.5,5.53,14.03,0.31,0.2,0.51,Midfielder
Harrison,134,3.7,2.1,5,8,15,556.2,791.5,466,181.2,5.44,5.06,10.5,0.18,0.17,0.35,Midfielder
Jensen,132,3.6,1.8,5,7,11,644,787.9,208,164.1,2.34,4.79,7.13,0.08,0.15,0.23,Midfielder
Olise,132,3.6,1.8,2,11,15,606.6,1014.6,462,208.8,2.87,6.42,9.29,0.09,0.21,0.3,Midfielder
Gundogan,132,4.3,7.7,8,6,9,596.2,636.9,597,182.7,7.83,4.37,12.2,0.3,0.17,0.47,Midfielder
